in s,C1 in V
-1.1967357E+00,3.28613E+00
-1.1967174E+00,3.29590E+00
-1.1966990E+00,3.32520E+00
-1.1966807E+00,3.31543E+00
-1.1966624E+00,3.32520E+00
-1.1966440E+00,3.31543E+00
-1.1966257E+00,3.28613E+00
-1.1966074E+00,3.34473E+00
-1.1965890E+00,3.32520E+00
-1.1965707E+00,3.34473E+00
-1.1965524E+00,3.33496E+00
-1.1965340E+00,3.34473E+00
-1.1965157E+00,3.29590E+00
-1.1964973E+00,3.30566E+00
-1.1964790E+00,3.30566E+00
-1.1964607E+00,3.32520E+00
-1.1964423E+00,3.34473E+00
-1.1964240E+00,3.31543E+00
-1.1964057E+00,3.29590E+00
-1.1963873E+00,3.32520E+00
-1.1963690E+00,3.31543E+00
-1.1963507E+00,3.29590E+00
-1.1963323E+00,3.39355E+00
-1.1963140E+00,3.35449E+00
-1.1962956E+00,3.34473E+00
-1.1962773E+00,3.32520E+00
-1.1962590E+00,3.34473E+00
-1.1962406E+00,3.33496E+00
-1.1962223E+00,3.36426E+00
-1.1962040E+00,3.32520E+00
-1.1961856E+00,3.35449E+00
-1.1961673E+00,3.29590E+00
-1.1961490E+00,3.30566E+00
-1.1961306E+00,3.31543E+00
-1.1961123E+00,3.32520E+00
-1.1960940E+00,3.35449E+00
-1.1960756E+00,3.39355E+00
-1.1960573E+00,3.38379E+00
-1.1960389E+00,3.35449E+00
-1.1960206E+00,3.29590E+00
-1.1960023E+00,3.27637E+00
-1.1959839E+00,3.35449E+00
-1.1959656E+00,3.39355E+00
-1.1959473E+00,3.35449E+00
-1.1959289E+00,3.35449E+00
-1.1959106E+00,3.33496E+00
-1.1958923E+00,3.28613E+00
-1.1958739E+00,3.33496E+00
-1.1958556E+00,3.34473E+00
-1.1958372E+00,3.34473E+00
-1.1958189E+00,3.38379E+00
-1.1958006E+00,3.30566E+00
-1.1957822E+00,3.30566E+00
-1.1957639E+00,3.31543E+00
-1.1957456E+00,3.30566E+00
-1.1957272E+00,3.36426E+00
