in s,C2 in V
-2.9920686E+00,-4.88281E-03
-2.9920227E+00,-4.88281E-03
-2.9919768E+00,1.46484E-02
-2.9919309E+00,1.46484E-02
-2.9918850E+00,-1.46484E-02
-2.9918391E+00,-4.88281E-03
-2.9917932E+00,-2.44141E-02
-2.9917473E+00,-4.39453E-02
-2.9917014E+00,-7.32422E-02
-2.9916555E+00,-4.88281E-03
-2.9916096E+00,4.88281E-03
-2.9915637E+00,4.88281E-03
-2.9915178E+00,-1.46484E-02
-2.9914719E+00,-4.39453E-02
-2.9914260E+00,1.46484E-02
-2.9913801E+00,-4.88281E-03
-2.9913342E+00,4.88281E-03
-2.9912883E+00,-4.88281E-03
-2.9912424E+00,-8.30078E-02
-2.9911964E+00,2.44141E-02
-2.9911505E+00,1.46484E-02
-2.9911046E+00,-2.44141E-02
-2.9910587E+00,-3.41797E-02
-2.9910128E+00,1.46484E-02
-2.9909669E+00,-2.44141E-02
-2.9909210E+00,2.44141E-02
-2.9908751E+00,4.88281E-03
-2.9908292E+00,-6.34766E-02
-2.9907833E+00,-3.41797E-02
-2.9907374E+00,-4.88281E-03
-2.9906915E+00,-2.44141E-02
-2.9906456E+00,-4.39453E-02
-2.9905997E+00,-2.44141E-02
-2.9905538E+00,4.88281E-03
-2.9905079E+00,-1.46484E-02
-2.9904620E+00,-2.44141E-02
-2.9904161E+00,-4.39453E-02
-2.9903702E+00,-1.46484E-02
-2.9903243E+00,-2.44141E-02
-2.9902784E+00,4.88281E-03
-2.9902325E+00,-2.44141E-02
-2.9901866E+00,4.88281E-03
-2.9901407E+00,-1.46484E-02
-2.9900948E+00,-3.41797E-02
-2.9900488E+00,-2.44141E-02
-2.9900029E+00,1.46484E-02
-2.9899570E+00,-3.41797E-02
-2.9899111E+00,-4.88281E-03
-2.9898652E+00,2.44141E-02
-2.9898193E+00,4.88281E-03
-2.9897734E+00,4.88281E-03
-2.9897275E+00,-1.46484E-02
-2.9896816E+00,4.39453E-02
-2.9896357E+00,-2.44141E-02
-2.9895898E+00,-3.41797E-02
-2.9895439E+00,-4.88281E-03
-2.9894980E+00,-2.44141E-02
-2.9894521E+00,-1.46484E-02
-2.9894062E+00,-1.46484E-02
-2.9893603E+00,1.46484E-02
-2.9893144E+00,-4.39453E-02
-2.9892685E+00,-2.44141E-02
-2.9892226E+00,-5.37109E-02
-2.9891767E+00,1.46484E-02
-2.9891308E+00,-3.41797E-02
-2.9890849E+00,-2.44141E-02
-2.9890390E+00,2.44141E-02
-2.9889931E+00,-4.88281E-03
-2.9889472E+00,-3.41797E-02
-2.9889012E+00,-4.88281E-03
-2.9888553E+00,-2.44141E-02
-2.9888094E+00,4.88281E-03
-2.9887635E+00,-2.44141E-02
-2.9887176E+00,-2.44141E-02
